	а	б	в	г	д	е	ж	з	и	й	к	л	м	н	о	п	р	с	т	у	ф	х	ц	ч	ш	щ	ы	ь	э	ю	я	 
а	9.905095088101944e-05	0.0007449457232470786	0.0026000878481293173	0.0005509709025654286	0.0016508494822680606	0.0012794081822593954	0.0012133743313980918	0.0038093356860882605	0.00014857644335460857	0.001357823591473835	0.005055726214752859	0.008916650925338363	0.003202648022171641	0.0028827954570978696	2.476275049506443e-05	0.0010668614200671383	0.0027012022714182136	0.003908386304824232	0.004533645365192916	0.00011555941146721037	0.0001919112460752967	0.0016941841742737324	4.9525432857811136e-05	0.0009554291407795548	0.0005427167915038891	0.00030540708293615377	0.0	0.0	8.25423880963519e-06	0.0006376406442714402	0.0021192781585513917	0.021357865297139157
б	0.000687166085645791	0.0	4.9525483957049434e-05	0.0	1.0317804899448775e-05	0.001782917567234955	5.1589015980704156e-05	0.0	0.0006520856494828338	0.0	0.00013000441667860405	0.0005468439151669766	5.9843305889577634e-05	0.0006397041166793169	0.0021419771641093084	0.0	0.0010090819102139465	0.00012175016083588943	8.25423880963519e-06	0.0012051203140184892	0.0	6.603392751016094e-05	0.0	1.650849465234981e-05	1.650849465234981e-05	0.00018159345820892734	0.003499800917397398	0.0002331824145738535	0.0	8.254255842714621e-06	0.00046223787581541384	0.0003260427779004485
в	0.0047998449308857246	0.0	8.666957989175707e-05	8.254255842714621e-06	0.00028270794111360153	0.004401577271709482	0.0	0.0005736701380699176	0.0022492823708330422	0.0	0.00024969102845775933	0.00043334798462418253	0.00011762303717280197	0.000994636930552172	0.006242274842756933	0.00012587727598243717	0.0005303354375477061	0.0029653383647031445	0.00021461043048054754	0.0005550981880427706	0.0	2.4762716428905568e-05	0.0	0.00013206799128495737	0.0004416022489834369	0.0	0.0023338882739199697	0.000193974761065872	0.0	0.0	0.0001671484615140734	0.004880323906189977
г	0.0013887769976556417	0.0	8.25423880963519e-06	0.0	0.0012278193110598667	0.00018984769701856254	0.0	0.0	0.0005881150751489935	0.0	0.0001733392023662127	0.0016591037210776955	1.8572043709083964e-05	0.00026413589740451754	0.005691303718761471	0.0	0.0007985983649333742	1.8572060742163396e-05	4.539836881050169e-05	0.0006458948745645356	0.0	0.0	0.0	2.4762733461985e-05	8.25423880963519e-06	0.0	0.0	0.0	8.25423880963519e-06	0.0	0.0	0.0006974839842271766
д	0.004290145213851931	2.4762767528143866e-05	0.0005777972617330051	4.952550099012886e-05	8.254255842714621e-06	0.0042179204688407735	5.7779756832843483e-05	3.301700633777905e-05	0.002595960622267753	0.0	0.000270326604190498	0.0006500219556449245	0.0	0.0016302138043368453	0.0033470978869217043	7.016111078902641e-05	0.0011122598484934179	0.0002744537874693635	0.00016508499762273642	0.0014156035612201716	0.0	6.603397860939924e-05	0.00020841971517802734	1.0317804899448775e-05	2.4762733461985e-05	0.0	0.000705738035672938	0.0010173359786927873	0.0	1.8572043709083964e-05	0.0003115978493379123	0.0011163869551234257
е	0.00013206804238419565	0.0015971969172306221	0.001167975945554511	0.0025031005399869686	0.0021234050693009865	0.0016075145517992768	0.0006211321411025507	0.0019789557921921636	5.9843297373037927e-05	0.0017272012572603686	0.000988446087501556	0.004537772335558288	0.0035163097527113364	0.005146523054572339	0.00012587722488319886	0.000907967222912319	0.005412722594715527	0.003590597672051481	0.005385896380329125	7.635181757500688e-05	8.254245622866963e-05	0.00047255552741714776	0.0002600087737414301	0.0009430478549556897	0.0009389205779948873	0.0007305009735318763	0.0	0.0	8.254255842714621e-06	0.00011762306272242112	0.0001712756192433197	0.018763967883266546
ж	0.0010049546843523822	8.25423880963519e-06	0.0	1.8572043709083964e-05	0.0007635178521215596	0.0033202709997286655	3.714412148432679e-05	0.0	0.0013082983204302785	0.0	0.00026619941239509285	6.60340126755581e-05	0.0	0.0010524165000211415	2.476275049506443e-05	0.0	1.6508511685429242e-05	8.25423880963519e-06	0.0	0.0002538181521208468	0.0	0.0	0.0	6.603399564247868e-05	0.0	0.0	0.0	4.952546692397e-05	0.0	0.0	0.0	0.00017540275142294688
з	0.005136204900494761	7.428820038595501e-05	0.0007676449246854088	0.000418903004962408	0.0007985984756483907	0.000336360650932215	9.905096791409887e-05	0.00010936879836316678	0.0002909622565720941	0.0	0.00016714847854715283	0.0003466783366001077	0.0003487419026899213	0.001966574378620203	0.0006355771548304841	4.127124514741424e-05	0.0002620723057650848	2.476275049506443e-05	2.476275049506443e-05	0.0004168394303560547	0.0	0.0	0.0	0.0	2.4762733461985e-05	0.0	0.00041890322639244064	0.00029302583117844745	1.650849465234981e-05	8.254255842714621e-06	0.00022286473742250045	0.0015703704132818703
и	0.00011762303717280197	0.0005241447137286462	0.0019376845129785907	0.00046430145042176713	0.0013124252141467935	0.0017787902391749142	0.00036112340142727936	0.0017519638885238771	0.00035080551987897324	0.0006954203500050453	0.002610405474181432	0.005722257210108675	0.0024577021371103083	0.0029942283495763126	9.905093384794e-05	0.000239373180975612	0.0009636832433245546	0.0021853120264457744	0.003576152700906246	8.25423880963519e-06	0.00022699180998634962	0.00153116303230316	0.0005282718970075116	0.0011101964271847792	0.0005674795334824137	0.0001650849465234981	0.0	0.0	2.476275049506443e-05	0.0001774663260293002	0.0007862170620764296	0.01669627930278748
й	0.0	8.254255842714621e-06	0.0	1.6508511685429242e-05	0.00013413153182515177	8.25423880963519e-06	8.25423880963519e-06	0.0	0.0	0.0	0.0008790774254030246	2.4762733461985e-05	7.016116188826471e-05	0.00028270796666322065	4.746192638377556e-05	8.254255842714621e-06	8.25423880963519e-06	0.00024350034722139802	0.0004065216424896854	0.0	0.0	8.254255842714621e-06	1.650849465234981e-05	0.00015683069068078348	4.127124514741424e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.006875787852372902
