	а	б	в	г	д	е	ж	з	и	й	к	л	м	н	о	п	р	с	т	у	ф	х	ц	ч	ш	щ	ы	ь	э	ю	я	 
а	9.079694201795658e-05	0.0006974855342374051	0.0025712034671392823	0.0004993832066483804	0.0016591071021439634	0.0012051229030465632	0.0012009955153707446	0.004073478371174932	0.00014444964332003033	0.0013124282204853136	0.004923669235353755	0.009038418970907656	0.003231544377416517	0.0026785096277154646	2.888990822431075e-05	0.0010441645351276106	0.002620729266208301	0.004003317822477527	0.004543972487186815	9.079701015027433e-05	0.0001898480887793895	0.0016508530506982016	2.4762895276239612e-05	0.0009616217723035113	0.0005571627846338898	0.0002723908601200286	0.0	0.0	4.127149212706602e-06	0.0006562139399118624	0.0021956340044496842	0.02152299363543251
б	0.0006851039503346498	0.0	4.952558615552603e-05	0.0	8.254272875794054e-06	0.0018530820590902484	3.7144249232422544e-05	0.0	0.0007057393812862133	0.0	0.00014032245152462516	0.000561289916813517	6.603408932441557e-05	0.0006149427969629248	0.0021337273709334053	0.0	0.0010936896784230713	0.0001279410720188231	4.127149212706602e-06	0.001304173359968279	0.0	4.1271423994748286e-05	0.0	1.6508528718508677e-05	1.6508528718508677e-05	0.00018984804619669092	0.0035245707792031255	0.00019810248940327932	0.0	1.2381379505802073e-05	0.00047462014955788613	0.0003301705573370941
в	0.004853507221811518	0.0	7.841554547907509e-05	1.2381379505802073e-05	0.000268263651291544	0.004345870415093982	0.0	0.0005489086820888901	0.002236905692457164	0.0	0.0002723906301734563	0.00043334887886085276	0.00012381393983919593	0.0010565455824883638	0.006388800009388539	0.00012794108905190253	0.0005530356183881038	0.0029715351437819425	0.0002146108733406128	0.0005819255266124145	0.0	1.2381447638119806e-05	0.0	0.00014857669033426036	0.0004498573735132026	0.0	0.0022575416173680313	0.00016921252156319055	0.0	0.0	0.0001444497199688878	0.004964939662913357
г	0.001333063923966148	0.0	4.127149212706602e-06	0.0	0.001238139611305452	0.0001939751954093975	0.0	0.0	0.000565417202290859	0.0	0.0001774666666908888	0.0016632342513566696	1.2381422088500657e-05	0.00025588222920304335	0.0057821118089299165	0.0	0.0007676467131587493	2.063565238159613e-05	4.9525569122446596e-05	0.0006562139739780213	0.0	0.0	0.0	2.063567793121528e-05	4.127149212706602e-06	0.0	0.0	0.0	4.127149212706602e-06	0.0	0.0	0.000738756489822469
д	0.004370632646080124	3.714413851740622e-05	0.0005530358142685173	5.77798164486215e-05	1.2381379505802073e-05	0.004259200239044444	7.016119595442358e-05	4.1271287730112826e-05	0.0025175509532010826	0.0	0.0002723907153388535	0.0006397055304249098	0.0	0.001609581635219993	0.0036360022579359757	7.428836220020961e-05	0.0011225799102758914	0.00030540765354431475	0.00018984797806437316	0.0014857672951034304	0.0	6.603411487403471e-05	0.00019397527205825498	8.254272875794054e-06	2.063567793121528e-05	0.0	0.0006520871058111254	0.0010152745247048235	0.0	1.2381422088500657e-05	0.00031778915228167286	0.001118452812162423
е	0.00017333938121354676	0.0016260899595415487	0.0011432157159552026	0.002521677685103343	0.0020965832579656184	0.0015518019294863878	0.000635578296046806	0.0019768963225579536	6.190697417786782e-05	0.0017292683747472443	0.0009740032540077899	0.004473811546728582	0.0037061639137835442	0.00507224575535722	0.0001031783981726161	0.0009162233098110727	0.0053693991445422804	0.0036318761477411145	0.005385907494413456	9.079684833601971e-05	7.42884132994479e-05	0.0004085863497958209	0.0002517550970234162	0.0009905115272301071	0.0009120963224126207	0.0007717735472594863	0.0	0.0	1.2381379505802073e-05	0.00013619528527883913	0.00016508531273470593	0.01883623096973951
ж	0.0010400371644848714	4.127149212706602e-06	0.0	1.2381422088500657e-05	0.0007511381077913832	0.003326468511229879	4.127130476319226e-05	0.0	0.0013660805129934808	0.0	0.00023524666198684437	8.254257546022565e-05	0.0	0.0010359102452187372	2.888990822431075e-05	0.0	2.4762759011604152e-05	4.127149212706602e-06	0.0	0.00027651776235308343	0.0	0.0	0.0	7.428834516713018e-05	0.0	0.0	0.0	4.127135586243056e-05	0.0	0.0	0.0	0.0001733395600608808
з	0.00489477976147297	6.190703379364584e-05	0.0007305025490917238	0.00039620478292614513	0.0008212992100638698	0.00037144175138527005	9.905117231105206e-05	0.00011968679062648932	0.00030953483682318023	0.0	0.00015270395026198327	0.0003219164122093958	0.0003260435358724832	0.0019438793502863335	0.0006892308525677047	4.539843694281943e-05	0.0002393737601003127	2.888990822431075e-05	2.888990822431075e-05	0.00038795054411650996	0.0	0.0	0.0	0.0	2.063567793121528e-05	0.0	0.0005035097767363862	0.00031778907563281546	1.6508528718508677e-05	1.2381379505802073e-05	0.0002517549437257013	0.0015022763944301002
и	0.00012381393983919593	0.0005282729019591982	0.0019149894250289434	0.00048287438836752135	0.0012587755362163191	0.0017499041633934759	0.0004003316596095808	0.0017003786709198867	0.0003549333504148571	0.0007016124449869996	0.002492788321937574	0.005844018663876228	0.0024556436553947055	0.003058204681091001	8.254271172486112e-05	0.00024350078156492355	0.000899715079171454	0.0022080156224185987	0.0035988591669529548	4.127149212706602e-06	0.00023111938502604204	0.0016054541112795388	0.0005612898401646595	0.0011886137441041156	0.0005819255777116529	0.00016508528718508676	0.0	0.0	2.888990822431075e-05	0.000181593798870516	0.0007882822377922496	0.0169501308141944
й	0.0	1.2381379505802073e-05	0.0	2.4762759011604152e-05	0.0001403224685577046	4.127149212706602e-06	4.127149212706602e-06	0.0	0.0	0.0	0.0009203503057260644	2.063567793121528e-05	9.905105307949602e-05	0.0002806449967311872	4.952557763898632e-05	1.2381379505802073e-05	4.127149212706602e-06	0.0002682634894772894	0.00038795050153381136	0.0	0.0	1.2381379505802073e-05	1.6508528718508677e-05	0.0001527039076792847	4.539843694281943e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.006793259908327909
