	а	б	в	г	д	е	ж	з	и	й	к	л	м	н	о	п	р	с	т	у	ф	х	ц	ч	ш	щ	ы	ь	э	ю	я
а	0.00044953420429893397	0.001832907381146258	0.005200688420921232	0.0011126592554053915	0.0033603302152169653	0.002178129757890814	0.0016913413691187356	0.005205655661966477	0.0015373572421414816	0.0016342182698110882	0.00790782807945885	0.011062018223079824	0.004843047990910041	0.006037666365800017	0.0017236283742297312	0.003750257675012391	0.004038356878429584	0.006971505498724456	0.006646151987467926	0.0007152809217054792	0.0003203862578746662	0.002257605404892206	0.00017385299246527967	0.001981924304088125	0.000784822185309335	0.0003675749367749198	0.0	0.0	0.0005091409488024422	0.0008270435984911052	0.003611175332853968
б	0.0008270435861544859	0.0	6.954120192075956e-05	0.0	2.2352523020505956e-05	0.002145842789789676	6.209036502613066e-05	0.0	0.0008270435738178667	0.0	0.00016640218024388927	0.0006581577977245936	0.00010431180288113935	0.0007798548949176131	0.002640082089476099	1.9868914834502735e-05	0.0012144874007540508	0.0001788202211739054	9.934457417251368e-06	0.00146036525267257	0.0	8.94101167552623e-05	0.0	2.98033722517541e-05	1.9868914834502735e-05	0.00021855805084291082	0.004212209932577961	0.00028064842820566075	0.00011424626029839073	9.934457417251368e-06	0.0005761985302005793
в	0.0058315264422434555	7.947565933801094e-05	0.0004569850411935629	0.00022849252059678146	0.0006258708172868361	0.005386959565346101	2.98033722517541e-05	0.0008419452476071245	0.0029107959985814123	0.0	0.0008692650116728755	0.0007127973135194759	0.000504173744767055	0.0015597098268450838	0.007945082424308044	0.0006954119945343572	0.0008320108025264923	0.0042892019837299684	0.0006457397321213388	0.000747567926816475	2.98033722517541e-05	5.96067445035082e-05	4.222145019162793e-05	0.0002483614354312842	0.0005612968564113215	0.0	0.0028089678532327526	0.00023345974930540713	0.00017136938427927647	1.9868914834502735e-05	0.0003551568464984267
г	0.0016938250019779772	4.9672287086256834e-05	8.195926752401415e-05	0.0	0.001529906405246853	0.0002384269780140328	0.0	9.934457417251368e-06	0.0007699204621736001	0.0	0.0002632630968839227	0.0020067604229580143	4.222145019162793e-05	0.00045450140833432117	0.006911898741884329	9.437734546388797e-05	0.000981027626775405	0.00011176263977576826	8.69264838960206e-05	0.0008096582795059864	0.0	0.0	0.0	3.973782966900547e-05	9.934457417251368e-06	0.0	0.0	0.0	9.934457417251368e-06	0.0	0.0
д	0.0052131065605442025	5.96067445035082e-05	0.0007997238344253542	0.0001192134890070164	6.954120192075956e-05	0.005086442234642557	6.954120192075956e-05	0.00010927903158976502	0.0032137969744808173	0.0	0.0004147636033385542	0.000861814199451485	5.96067445035082e-05	0.0021284575324876536	0.0040805783903043085	0.0001962055278224049	0.0013585370949872918	0.0004420833427310666	0.00027816480768303825	0.0017534317588181049	1.2418077939873829e-05	7.947565933801094e-05	0.00025084505595390663	2.2352535357125197e-05	3.973782966900547e-05	0.0	0.0008493961215116111	0.0012244218705079212	0.0	2.2352535357125197e-05	0.00039489467616743223
е	0.0003626076957296749	0.003097067093659804	0.003462158397575482	0.0034249041884290995	0.003606208054798865	0.0023867533389798543	0.0009636423571367634	0.003196411717178795	0.0012641596755036883	0.002078785208391539	0.0024016550991254465	0.005806690372720044	0.005391926806391347	0.008339976989445903	0.0015895131744235996	0.0036384950475732416	0.00708575170967637	0.006223937559571362	0.00766195023987695	0.0007997238220887351	0.0001490168612587705	0.000839461676430979	0.00034273878089517213	0.0018627107904078699	0.0012492580387242882	0.0009040356373064937	0.0	0.0	0.0003253534619100534	0.00014156601202752238	0.0004718867396560592
ж	0.0012095201843820443	1.9868914834502735e-05	1.9868914834502735e-05	3.2286992774376564e-05	0.0009189372987591323	0.0039961355392675296	4.470505837763115e-05	0.0	0.0015746115129709611	0.0	0.0003303207029552983	7.947565933801094e-05	9.934457417251368e-06	0.0013063811750417932	3.973782966900547e-05	9.934457417251368e-06	2.98033722517541e-05	4.222145019162793e-05	1.9868914834502735e-05	0.0003054845594121699	0.0	9.934457417251368e-06	0.0	8.94101167552623e-05	0.0	0.0	0.0	5.96067445035082e-05	0.0	0.0	9.934457417251368e-06
з	0.006204068681746717	0.00015895131867602188	0.0011573642520999266	0.0005538460195166926	0.0010257326851530362	0.0004569850411935629	0.00015150048178139296	0.00016143492686202508	0.0003998618925394386	0.0	0.0003129353963067988	0.0004371161263590601	0.0004917556298173234	0.002627664011536225	0.0008369780312351181	0.00022352529188815576	0.00042469806075580554	0.00018875469092777595	0.00014156601202752238	0.0005141081775110679	0.0	6.954120192075956e-05	9.934457417251368e-06	1.9868914834502735e-05	6.209036502613066e-05	0.0	0.0005041737077571973	0.0003526732259758043	4.9672287086256834e-05	9.934457417251368e-06	0.0002880992527636704
и	0.0004321488976504345	0.0014553979992907062	0.004326456266896067	0.0009735768145540147	0.0025655736095002366	0.0025705408505454813	0.0006084855106383366	0.002679819894471866	0.0013957912547871978	0.0008369780065618796	0.004356259577464724	0.007048497562213084	0.003891823711713152	0.005836493744971797	0.0015323900504427138	0.002535770298931579	0.0016068984810720989	0.00445063695993847	0.005123696394442464	0.0005513623989940701	0.0003551568464984267	0.0021359083693822823	0.0007177645298914823	0.001808071212929891	0.0008444288681297468	0.00020862359342565948	0.0	0.0	0.00023097612878278468	0.00021359084680752362	0.001249257977041192
й	0.00022600892474739748	0.000260779513371158	0.0008121419000286088	0.00026574674207978366	0.0005811657589092049	0.00013411517513289346	0.00011176265211238749	0.00016143493919864433	0.00041227998281593165	0.0	0.0018478090672721349	0.00015150048178139296	0.0004122800074891702	0.0008816830649395107	0.0005538459701702156	0.0009065192578291161	0.0002657467174065452	0.0011275609538678878	0.0008518797050243758	0.00016640215557065075	6.209035268951142e-05	0.00013908240384151913	7.947565933801094e-05	0.0003775093818555519	0.0001192134890070164	0.0	0.0	0.0	6.954120192075956e-05	0.0	0.0001490168612587705
к	0.011459396692482547	0.00021855806317953004	0.0009288717685130028	6.209036502613066e-05	0.00037005854496092305	0.001015798277082262	0.00018378744988253106	0.00030300097589940517	0.004530112594603243	0.0	0.0004495341919623147	0.0007127973011828568	0.00029306649380891534	0.0014479471870693158	0.011243322188142543	0.0004594686617161853	0.002486097974835464	0.0005786821507232018	0.001994342295671664	0.0028437384665297516	0.0	4.9672287086256834e-05	5.96067445035082e-05	0.00018378744988253106	0.00010182818235851688	0.0	0.0	0.0	6.209035268951142e-05	0.0	0.0001788202581837631
