	а	б	в	г	д	е	ж	з	и	й	к	л	м	н	о	п	р	с	т	у	ф	х	ц	ч	ш	щ	ы	ь	э	ю	я
а	0.00045201892278066915	0.0018279447293233714	0.005185799725255419	0.0011225964268788764	0.0033578549589221894	0.0021657171574098843	0.0016888619677198943	0.00519573418267267	0.001519975846201282	0.0016441567366295938	0.00789791331128591	0.011017340860412395	0.004843060019113803	0.005985525718589141	0.001728599859071996	0.0037502669891599193	0.004013530887924093	0.006974006415187258	0.006636234085793699	0.000710315494143263	0.00032287065560430094	0.0022402257977617965	0.00016888622021156598	0.0020017980425407517	0.0008046929506367243	0.000372543053720131	0.0	0.0	0.0005116258153236081	0.0008344964585912899	0.0036360203217530936
б	0.0008295292422192835	0.0	6.954137463342896e-05	0.0	1.9868976517598947e-05	0.0021408809151738017	6.457412125156481e-05	0.0	0.000824562025847277	0.0	0.00017385339957371468	0.0006556758303089495	0.00010431206195014345	0.0007748896277314471	0.0026525066564776945	1.9868964180979706e-05	0.001207039611004375	0.00017385346125681092	9.934482090489853e-06	0.001465336083674015	0.0	8.941033881440868e-05	0.0	2.980344627146956e-05	1.9868964180979706e-05	0.00021359138961877036	0.004207253189995691	0.00028313272724234156	0.00011424654404063332	9.934482090489853e-06	0.0005761999612484115
в	0.005806704905257512	7.947585672391882e-05	0.0004569861761625333	0.00022849308808126664	0.0006258723717008607	0.005399390954498139	2.980344627146956e-05	0.0008344965326110053	0.002900868819769514	0.0	0.0008642999665458556	0.0007103154818066437	0.0005165930070223761	0.0015646809045789134	0.007987323391031314	0.0006854793135902769	0.0008295292668925219	0.004286729034382991	0.0006457413358818405	0.0007500533854953647	2.980344627146956e-05	5.960689254293912e-05	4.47051570705851e-05	0.0002483620522622463	0.0005662654544846831	0.0	0.002816425635644016	0.00023346032912651153	0.00016888620787494673	1.9868964180979706e-05	0.00035267412654900904
г	0.0016987964128005266	4.967241045244927e-05	7.947586906053807e-05	0.0	0.001515008592819418	0.00023842757017175647	0.0	9.934482090489853e-06	0.0007748895783849701	0.0	0.00025332934265396824	0.002016699815022963	4.47051570705851e-05	0.00044705173108190114	0.006909432306272312	9.43775798596536e-05	0.0009636448491338505	0.00010927931533200763	7.947589373377655e-05	0.000809660290374923	0.0	0.0	0.0	3.973792836195941e-05	9.934482090489853e-06	0.0	0.0	0.0	9.934482090489853e-06	0.0	0.0
д	0.005225537517914566	5.960689254293912e-05	0.0008046930246564396	0.00011921378508587824	6.954137463342896e-05	0.005101356479446824	6.954137463342896e-05	0.00010927930299538839	0.0032138049562734673	0.0	0.00041724823546395465	0.0008692671459080044	5.960689254293912e-05	0.0021408808288174673	0.004083072126854711	0.00019372241310117137	0.00137592568317651	0.00043711723665479206	0.00027816549853371586	0.0017633705217154718	1.4901710799115539e-05	7.947585672391882e-05	0.000253329280970872	2.4836192889605388e-05	3.973792836195941e-05	0.0	0.0008543654351088889	0.0012219413094668712	0.0	2.4836192889605388e-05	0.00039241205491096843
е	0.0003626085963028797	0.0030945911835242087	0.0034571997921637077	0.0034224290925103738	0.0036111842152198237	0.002364406848566158	0.0009586775464055093	0.003213804869917133	0.0012517448050848176	0.0020763067692489983	0.0024091118699339316	0.005811671998263326	0.00540932541191539	0.008335030498594225	0.00158454991810637	0.0036459548901999184	0.007068384093739865	0.006218985813319886	0.007644584054988277	0.0007997258082844332	0.0001490172313573478	0.0008493981693904055	0.0003427396321218999	0.0018726498247108605	0.0012567119474371088	0.000909005086606583	0.0	0.0	0.000317903463905533	0.00013908276160347718	0.0004768551156702745
ж	0.0012070395863311364	1.9868964180979706e-05	1.9868964180979706e-05	3.477067498009524e-05	0.000913972376998305	0.0040135306782015665	4.470516940720434e-05	0.0	0.0015795826277146482	0.0	0.00032783792132278443	7.947585672391882e-05	9.934482090489853e-06	0.0013163188276434285	3.973792836195941e-05	9.934482090489853e-06	2.980344627146956e-05	4.47051570705851e-05	1.9868964180979706e-05	0.00030300171609655977	0.0	9.934482090489853e-06	0.0	8.941033881440868e-05	0.0	0.0	0.0	5.960689254293912e-05	0.0	0.0	9.934482090489853e-06
з	0.006214018498254926	0.00015895171344783765	0.0011424655144260485	0.000561298201102819	0.0010083500185410548	0.0004569861761625333	0.00015398446006597349	0.00015895172578445692	0.00039241207958420687	0.0	0.00030796896947842396	0.00043711721198155356	0.0004867896471072413	0.002637604945678579	0.0008344965079377669	0.0002235258470360217	0.00042718271755444443	0.0001887551597193072	0.00013908276160347718	0.0005165930563688531	0.0	6.954137463342896e-05	9.934482090489853e-06	1.9868964180979706e-05	6.457412125156481e-05	0.0	0.0005016913579063569	0.00034770689784038335	4.967241045244927e-05	9.934482090489853e-06	0.0002831327642521993
и	0.0004321499709363087	0.001450434409884757	0.004351303032268363	0.0009686120284959992	0.0025581291753109946	0.0025680636327282463	0.0006060034198565003	0.002682310152095641	0.0013908275173418181	0.000824562075193754	0.004356270396679801	0.007058449475946564	0.0038992841835074096	0.005841475444534795	0.0015299102542720567	0.0025531618108995575	0.0016044188699507306	0.004465549625655474	0.005116258313612133	0.0005563309723941933	0.00035267412654900904	0.0021458480821993312	0.0007103155064798822	0.001793174091353134	0.0008394637613196311	0.00020365690752828047	0.0	0.0	0.00022849310041788586	0.0002185585813175383	0.0012318758655770765
й	0.00023346029211665381	0.00026326376306136184	0.0008146275190835488	0.0002682310041066068	0.0005811672022936565	0.000134115508221613	0.00011424653170401406	0.00016391894215646335	0.0004122810067553289	0.0	0.0018428464524591062	0.00015398446006597349	0.00042221543949934174	0.0008692672446009584	0.0005414293356147932	0.0009139723153152087	0.0002582965713625939	0.0011424653663866177	0.0008444310147014952	0.00016391896682970181	5.960690487955836e-05	0.00013908274926685793	7.947585672391882e-05	0.0003775103194386144	0.00011921378508587824	0.0	0.0	0.0	6.954137463342896e-05	0.0	0.0001490172313573478
к	0.01148426117324008	0.00021855860599077678	0.0009288740754608012	6.457412125156481e-05	0.00037254306605675027	0.0010182844019385906	0.00017882070230205586	0.0003129361365039534	0.00453509104963538	0.0	0.0004470517064086626	0.0007053482654346373	0.0002930672216694507	0.0014554015892469059	0.011245833714097896	0.0004619534048711589	0.002488587751331089	0.0005811671899570371	0.001981929238735822	0.0028561635393327366	0.0	4.967241045244927e-05	5.960689254293912e-05	0.00017882070230205586	9.934483324151778e-05	0.0	0.0	0.0	5.960690487955836e-05	0.0	0.00018875511037283024
